統計日,代號,名稱,最大月漲幅(%),市場
2026/08/30,2472,立隆電,40.08,上市
2026/08/30,3055,蔚華科,40.07,上市
2026/08/30,3221,台灣嘉碩,40.02,上櫃
2026/08/30,9960,邁達康,40,上櫃
2026/08/30,6761,穩得,39.74,上櫃
2026/08/30,6651,全宇昕,39.25,上櫃
2026/08/30,3673,TPK-KY,39.17,上市
2026/08/30,4946,紅心辣椒,39.13,上櫃
2026/08/30,6937,天虹,38.78,上市
2026/08/30,3135,凌航,38.73,上市
2026/08/30,6902,GOGOLOOK,38.7,上市
2026/08/30,6265,方土昶,38.69,上櫃
2026/08/30,6921,嘉雨思-創,38.64,上市
2026/08/30,8227,巨有科技,38.56,上櫃
2026/08/30,5227,立凱-KY,38.49,上櫃
2026/08/30,6196,帆宣,38.46,上市
2026/08/30,1570,力肯實業,38.38,上櫃
2026/08/30,4971,IET-KY,38.29,上櫃
2026/08/30,2233,宇隆,38.25,上市
2026/08/30,3147,大綜,38.08,上櫃
2026/08/30,3631,晟楠,38.02,上櫃
2026/08/30,8147,正淩,38,上櫃
2026/08/30,6613,朋億*,37.81,上櫃
2026/08/30,2484,希華,37.8,上市
2026/08/30,6949,沛爾生醫-創,37.43,上市
2026/08/30,8096,擎亞,37.33,上櫃
2026/08/30,3691,碩禾,37.29,上櫃
2026/08/30,1735,日勝化,37.25,上市
2026/08/30,6223,旺矽科技,37,上櫃
2026/08/30,1717,長興,36.98,上市
2026/08/30,3290,東浦,36.91,上櫃
2026/08/30,2303,聯電,36.81,上市
2026/08/30,2049,上銀,36.76,上市
2026/08/30,6953,家碩,36.7,上櫃
2026/08/30,3594,磐儀,36.57,上櫃
2026/08/30,3122,笙泉,36.53,上櫃
2026/08/30,6423,億而得,36.19,上櫃
2026/08/30,2605,新興,35.92,上市
2026/08/30,6015,宏遠證券,35.92,上櫃
2026/08/30,4561,健椿,35.7,上櫃
2026/08/30,8091,翔名科技,35.68,上櫃
2026/08/30,6863,永道-KY,35.62,上市
2026/08/30,8299,群聯電子,35.53,上櫃
2026/08/30,3707,漢磊,35.52,上櫃
2026/08/30,3287,廣寰科,35.47,上櫃
2026/08/30,8028,昇陽半導體,35.36,上市
2026/08/30,2923,鼎固-KY,34.92,上市
2026/08/30,6546,正基,34.77,上櫃
2026/08/30,5234,達興材料,34.7,上市
2026/08/30,6706,惠特,34.67,上市
2026/08/30,3088,艾訊,34.5,上櫃
2026/08/30,6261,久元電子,34.43,上櫃
2026/08/30,5299,杰力,34.42,上櫃
2026/08/30,6933,AMAX-KY,34.29,上市
2026/08/30,3095,及成,34.2,上櫃
2026/08/30,3030,德律,34.05,上市
2026/08/30,3558,神準,33.95,上櫃
2026/08/30,6202,盛群,33.9,上市
2026/08/30,6204,台灣艾華,33.87,上櫃
2026/08/30,2515,中工,33.58,上市
2026/08/30,1623,大東電,33.52,上市
2026/08/30,2313,華通,33.43,上市
2026/08/30,2337,旺宏,33.33,上市
2026/08/30,3018,隆銘綠能,33.33,上市
2026/08/30,5434,崇越,33.33,上市
2026/08/30,3556,禾瑞亞,33.33,上櫃
2026/08/30,5292,華懋,33.24,上市
2026/08/30,6532,瑞耘,33.15,上櫃
2026/08/30,6743,安普新,32.89,上市
2026/08/30,6533,晶心科,32.85,上市
2026/08/30,6425,易發,32.85,上櫃
2026/08/30,4906,正文,32.78,上市
2026/08/30,8162,微矽電子-創,32.72,上市
2026/08/30,6259,百徽,32.59,上櫃
2026/08/30,3057,喬鼎,32.57,上市
2026/08/30,3663,鑫科,32.53,上櫃
2026/08/30,6684,安格,32.51,上櫃
2026/08/30,3044,健鼎,32.5,上市
2026/08/30,3588,通嘉,32.18,上市
2026/08/30,6548,長科*,32.17,上櫃
2026/08/30,1308,亞聚,32.14,上市
2026/08/30,3702,大聯大,32.13,上市
2026/08/30,6620,漢達,32.08,上櫃
2026/08/30,2429,銘旺科,32.07,上市
2026/08/30,4147,中裕,31.98,上櫃
2026/08/30,6190,萬泰科技,31.81,上櫃
2026/08/30,3294,英濟,31.8,上櫃
2026/08/30,3171,炎洲流通,31.74,上櫃
2026/08/30,3162,精確,31.65,上櫃
2026/08/30,6568,宏觀,31.55,上櫃
2026/08/30,5236,凌陽創新,31.33,上櫃
2026/08/30,6197,佳必琪,31.23,上市
2026/08/30,3709,鑫聯大投控,31.16,上櫃
2026/08/30,5011,久陽精密,30.75,上櫃
2026/08/30,8182,加高電子,30.74,上櫃
2026/08/30,2231,為升,30.66,上市
2026/08/30,0053,元大電子,30.62,上市
2026/08/30,3374,精材,30.62,上櫃
2026/08/30,3548,兆利科技,30.49,上櫃
2026/08/30,8210,勤誠,30.33,上市
2026/08/30,3438,類比科,30.24,上櫃
2026/08/30,8150,南茂,30.22,上市
2026/08/30,6166,凌華,30.21,上市
2026/08/30,1526,日馳,30.18,上市
2026/08/30,2327,國巨*,30.18,上市
2026/08/30,5284,jpp-KY,30.17,上市
2026/08/30,3260,威剛科技,30.15,上櫃
2026/08/30,5443,均豪精密,30.02,上櫃
2026/08/30,4927,泰鼎-KY,30.01,上市
2026/08/30,3437,榮創,29.97,上市
2026/08/30,6831,邁科,29.97,上市
2026/08/30,6505,台塑化,29.95,上市
2026/08/30,5536,聖暉*,29.91,上櫃
2026/08/30,2440,太空梭,29.89,上市
2026/08/30,4933,友輝,29.81,上櫃
2026/08/30,3324,雙鴻科技,29.69,上櫃
2026/08/30,1467,南緯,29.18,上市
2026/08/30,6791,虎門科技,29.17,上櫃
2026/08/30,1802,台玻,29.09,上市
2026/08/30,6231,系微,29.05,上櫃
2026/08/30,6246,臺龍電子,28.96,上櫃
2026/08/30,6465,威潤,28.96,上櫃
2026/08/30,7714,創泓科技,28.94,上櫃
2026/08/30,3528,安馳,28.87,上市
2026/08/30,8240,華宏新技,28.63,上櫃
2026/08/30,5347,世界先進,28.57,上櫃
2026/08/30,6689,伊雲谷,28.55,上市
2026/08/30,8438,昶昕,28.53,上市
2026/08/30,2103,台橡,28.52,上市
2026/08/30,8374,羅昇,28.51,上市
2026/08/30,6739,竹陞科技,28.51,上櫃
2026/08/30,6263,普萊德,28.42,上櫃
2026/08/30,5483,中美晶,28.36,上櫃
2026/08/30,2312,金寶,28.31,上市
2026/08/30,5269,祥碩,28.17,上市
2026/08/30,8039,台虹,28.17,上市
2026/08/30,3338,泰碩,28.15,上市
